,Station Name,Neighbourhood
252,Queen's Park Cres E / Grosvenor St - SMART,Bay Street Corridor 
253,Queen St W / James St,Bay Street Corridor 
254,Bloor St W / Balmuto St,Bay Street Corridor 
255,Chorley Park - SMART,Rosedale-Moore Park 
256,Mallon Ave / Jones Ave -SMART,South Riverdale 
257,Rosehill Ave / Avoca Ave - SMART,Rosedale-Moore Park 
258,Charles St E / Jarvis St - SMART,Church-Yonge Corridor 
259,Charles St W / Balmuto St - SMART,Bay Street Corridor 
260,Adelaide St W / Bay St - SMART,Bay Street Corridor 
261,Front St W / Bay St (South Side),Waterfront Communities-The Island 
262,University Ave / King St W - SMART,Bay Street Corridor 
263,Spadina Ave / Harbord St - SMART,University 
264,Gerrard St E / Broadview - SMART,North Riverdale 
265,Queen St E / Pape Ave - SMART,South Riverdale 
266,Humber Bay Shores Park West,Mimico 
