,Station Id,Station Name,Neighbourhood,capacity
0,7000,Fort York  Blvd / Capreol Ct,Waterfront Communities-The Island ,35
1,7001,Wellesley Station Green P,Church-Yonge Corridor ,17
2,7002,St. George St / Bloor St W,University ,19
3,7003,Madison Ave / Bloor St W,Annex ,15
4,7004,University Ave / Elm St,Kensington-Chinatown ,11
5,7005,King St W / York St,Bay Street Corridor ,19
6,7006,Bay St / College St (East Side),Bay Street Corridor ,11
7,7007,College St / Huron St,Kensington-Chinatown ,18
8,7008,Wellesley St / Queen's Park Cres,Bay Street Corridor ,19
9,7009,King St E / Jarvis St,Church-Yonge Corridor ,25
10,7010,King St W / Spadina Ave,Waterfront Communities-The Island ,19
11,7011,Wellington St W / Portland St,Waterfront Communities-The Island ,11
12,7012,Elizabeth St / Edward St (Bus Terminal),Bay Street Corridor ,15
13,7013,Scott St / The Esplanade,Waterfront Communities-The Island ,19
14,7014,Sherbourne St / Carlton St (Allan Gardens),Moss Park ,17
15,7015,King St W / Bay St (West Side),Bay Street Corridor ,19
16,7016,Bay St / Queens Quay W (Ferry Terminal),Waterfront Communities-The Island ,23
17,7017,Widmer St / Adelaide St W,Waterfront Communities-The Island ,11
18,7018,Bremner Blvd / Rees St,Waterfront Communities-The Island ,23
19,7019,Temperance St. Station,Bay Street Corridor ,19
20,7020,Phoebe St / Spadina Ave,Kensington-Chinatown ,26
21,7021,Bay St / Albert St,Bay Street Corridor ,35
22,7022,Simcoe St / Queen St W,Bay Street Corridor ,39
23,7023,College St / Borden St,University ,11
24,7024,Dundonald St / Church St,Church-Yonge Corridor ,36
25,7025,Ted Rogers Way / Bloor St E,Church-Yonge Corridor ,19
26,7026,Bay St / St. Joseph St,Bay Street Corridor ,15
27,7027,Beverley  St / Dundas St W,Kensington-Chinatown ,31
28,7028,Gould St / Mutual St,Church-Yonge Corridor ,31
29,7029,Bay St / Bloor St W (East Side),Bay Street Corridor ,15
30,7030,Bay St / Wellesley St W,Bay Street Corridor ,51
31,7031,Jarvis St / Isabella St,North St.James Town ,23
32,7032,Augusta Ave / Dundas St W,Kensington-Chinatown ,15
33,7033,Union Station,Waterfront Communities-The Island ,43
34,7034,Church St / Bloor St E,Rosedale-Moore Park ,15
35,7035,Queen St W / Ossington Ave,Niagara ,23
36,7036,Trinity St /Front St E,Waterfront Communities-The Island ,19
37,7037,Bathurst St / Dundas St W,Kensington-Chinatown ,41
38,7038,Dundas St W / Yonge St,Bay Street Corridor ,15
39,7039,Simcoe St / Michael Sweet Ave,Kensington-Chinatown ,19
