,Station Id,Station Name,Neighbourhood
449,7504,Gerrard St E / Victoria Park Ave - SMART,East End-Danforth 
450,7505,Ontario St / Adelaide St E -SMART,Moss Park 
451,7506,Berkeley St / Adelaide St E - SMART,Moss Park 
452,7508,Berkeley St / Dundas St E - SMART,Moss Park 
453,7509,Ontario St / King St E,Moss Park 
454,7514,Humber Bay Shores Park / Marine Parade Dr,Mimico 
455,7515,Amos Waites Park,Mimico 
456,7516,Superior Ave / Lake Shore Blvd W,Mimico 
457,7517,Ripley Ave / Ormskirk Ave,High Park-Swansea 
458,7518,Lake Shore Blvd W / Colborne Lodge Dr,South Parkdale 
459,7519,406 Oakwood Ave,Oakwood Village 
460,7520,St Clarens Ave / Shirley Ave,Little Portugal 
461,7521,Emerson Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction 
462,7522,Wallace Ave / Pauline Ave,Dovercourt-Wallace Emerson-Junction 
463,7523,Lynn Williams St / East Liberty St - SMART,Niagara 
464,7524,Lisgar Park,Little Portugal 
465,7525,Fennings St / Queen St W,Trinity-Bellwoods 
466,7526,Bartlett Parkette,Dovercourt-Wallace Emerson-Junction 
467,7527,Joseph J Piccininni Community Centre,Corso Italia-Davenport 
468,7528,Spadina Rd / Austin Terrace,Casa Loma 
469,7529,Symington Ave / Davenport Rd,Weston-Pellam Park 
470,7530,Sherbourne St N / Elm Ave,Rosedale-Moore Park 
471,7531,541 Huron St - SMART,Annex 
472,7533,Housey St / Dan Leckie Way,Waterfront Communities-The Island 
473,7534,Walnut Ave / Queen St W,Niagara 
474,7535,Wolsley St / Palmerston Ave - SMART,Trinity-Bellwoods 
475,7536,Palmerston Ave / Dundas St W,Trinity-Bellwoods 
476,7537,Euclid Ave / Herrick St - SMART,Palmerston-Little Italy 
477,7538,Vaughan Rd /Wychwood Ave,Humewood-Cedarvale 
478,7539,Davisville Ave / Pailton Cres,Mount Pleasant West 
479,7540,Alvin Ave / St Clair Ave E,Rosedale-Moore Park 
480,7541,Bellwoods Ave / Treford Pl - SMART,Trinity-Bellwoods 
481,7542,Queen St W / John St,Kensington-Chinatown 
482,7543,Nassau St / Bellevue Ave,Kensington-Chinatown 
483,7544,Foster Pl / Elizabeth St,Bay Street Corridor 
484,7545,Baldwin St / Henry St,Kensington-Chinatown 
485,7546,Ross St / Cecil St - SMART,Kensington-Chinatown 
486,7547,Orde St / McCaul St,Kensington-Chinatown 
487,7548,St Joseph St / Bay St - SMART,Bay Street Corridor 
488,7549,439 Sherbourne St,Cabbagetown-South St.James Town 
489,7551,The Esplanade / Hahn Pl,Waterfront Communities-The Island 
490,7552,Lake Shore Blvd W / Thirty Ninth Street,Long Branch 
491,7553,Lake Shore Blvd W / Twenty Fourth St,Long Branch 
492,7554,Humber College,New Toronto 
493,7555,Royal York Rd / Mimico Ave,Mimico 
494,7556,Windsor St / Newcastle St,Mimico 
495,7557,The Queensway / High St,Stonegate-Queensway 
496,7558,Berry Rd / Bell Manor Dr,Stonegate-Queensway 
497,7559,Swansea Community Centre,High Park-Swansea 
498,7560,Glenwood Ave / Runnymede Rd,High Park North 
499,7561,Annette St / Jane St,Runnymede-Bloor West Village 
500,7562,Priscilla  Ave / Dundas St W,Runnymede-Bloor West Village 
501,7563,St Clair Ave W / Castleton Ave,Rockcliffe-Smythe 
502,7564,Durie St / Dundas St W,Runnymede-Bloor West Village 
503,7565,St Clair Ave W / Gunns Rd,Junction Area 
504,7566,Weston Rd / St Clair Ave W - SMART,Junction Area 
505,7567,Weston Lions Park,Weston 
506,7568,Jameson Ave / Queen St W,South Parkdale 
507,7569,Toronto Inukshuk Park,Niagara 
508,7570,Carlaw Ave / Dundas St E,South Riverdale 
509,7571,Highfield Rd / Gerrard St E,Greenwood-Coxwell 
510,7572,Cosburn Ave / Durant Ave,Danforth East York 
511,7575,Bayview Ave / Lawren Harris Square,Waterfront Communities-The Island 
512,7576,Front St E / Bayview Avenue,Waterfront Communities-The Island 
513,7577,Oak St / Sumach St,Regent Park 
514,7578,Oak St / Parliament St,Regent Park 
515,7579,Glebe Rd W / Yonge St,Yonge-Eglinton 
516,7580,Hillsdale Ave W / Yonge St,Yonge-Eglinton 
517,7581,High Park Ave / Dundas St W,Junction Area 
518,7582,Alameda Ave / Vaughan Rd - SMART,Oakwood Village 
519,7583,Eglinton Ave W / Scarlett Rd,Humber Heights-Westmount 
520,7584,The Pond Rd / Sentinel Rd,York University Heights 
521,7585,Sentinel Rd / Finch Hydro Corridor,York University Heights 
522,7586,Finch West Subway Station,York University Heights 
523,7587,Dufferin St / Finch Hydro Recreational Trail,Bathurst Manor 
